DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 21-Jul-2024,-4.000000,3,,,,,24,,10,3,10,10,3,10,10,10,10,10,3,3,3,3,3,3,3,3,3,3,3,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 22-Jul-2024,-4.000000,1,,,,,24,,10,10,3,10,10,10,10,10,10,10,10,3,3,10,10,10,10,3,3,10,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 23-Jul-2024,-4.000000,1,,,,,24,,10,10,10,10,3,10,3,3,3,3,3,3,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 24-Jul-2024,-4.000000,5,,,,,24,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,3,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 25-Jul-2024,-4.000000,7,,,,,24,,20,10,3,3,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 29-Jul-2024,-4.000000,1,,,,,24,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 30-Jul-2024,-4.000000,2,,,,,24,,10,10,3,10,10,10,10,10,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 31-Jul-2024,-4.000000,2,,,,,24,,10,10,10,10,10,10,10,10,10,10,10,10,10,3,10,3,10,10,10,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 23-Aug-2024,-6.000000,2,,,,,24,,3,3,3,3,3,3,3,3,3,10,10,10,3,3,3,3,3,3,10,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 24-Aug-2024,-6.000000,2,,,,,24,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 27-Aug-2024,-6.000000,5,,,,,24,,10,10,3,3,3,3,3,3,3,3,3,3,3,3,10,10,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 28-Aug-2024,-6.000000,5,,,,,24,,3,3,3,3,3,3,10,10,10,10,10,10,10,10,10,3,3,10,3,3,3,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 29-Aug-2024,-6.000000,4,,,,,24,,10,10,10,20,20,20,10,20,3,3,3,3,10,20,10,20,10,10,3,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 30-Aug-2024,-6.000000,5,,,,,24,,10,10,10,10,10,3,10,3,3,10,10,10,10,10,3,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 31-Aug-2024,-6.000000,3,,,,,24,,10,10,10,10,10,10,10,10,10,10,10,10,3,3,3,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 01-Sep-2024,-6.000000,5,,,,,24,,10,10,10,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,3,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 02-Sep-2024,-6.000000,5,,,,,24,,3,3,3,10,10,20,10,10,20,50,20,3,20,10,3,10,10,10,20,20,30,20,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 03-Sep-2024,-6.000000,5,,,,,24,,10,3,10,10,10,10,10,10,10,10,3,3,20,20,0,10,10,10,10,30,60,98,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 04-Sep-2024,-6.000000,4,,,,,24,,98,30,30,10,3,3,10,30,20,10,10,20,50,3,3,10,10,20,20,20,10,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,264709,0.500000,Transmission,UT,Percent,00:00:00 05-Sep-2024,-6.000000,5,,,,,24,,10,10,10,3,10,10,20,3,3,10,10,30,20,10,10,10,20,20,10,10,10,10,10,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
